led   ic (r,g,b)
#1
0   ->  5, 6, 7
1   ->  2, 3, 4
2   -> 23, 0, 1
3   -> 20,21,22
4   -> 17,18,19
5   -> 38,39,16
6   -> 35,36,37
7   -> 32,33,34
#2
8   -> 10, 9, 8
9   -> 13,12,11
10  -> 24,15,14
11  -> 27,26,25
12  -> 30,29,28
13  -> 41,40,31
14  -> 44,43,42
15  -> 47,46,45
#3
16  -> 85,86,87
17  -> 82,83,84
18  -> 71,80,81
19  -> 68,69,70
20  -> 65,66,67
21  -> 54,55,64
22  -> 51,52,53
23  -> 48,49,50
#4
24  -> 90,89,88
25  -> 93,92,91
26  -> 72,95,94
27  -> 75,74,73
28  -> 78,77,76
29  -> 57,56,79
30  -> 60,59,58
31  -> 63,62,61
#5
32  -> 101,102,103
33  -> 98,99,100
34  -> 119,96,97
35  -> 116,117,118
36  -> 113,114,115
37  -> 134,135,112
38  -> 131,132,133
39  -> 128,129,130
#6
40  -> 106,105,104
41  -> 109,108,107
42  -> 120,111,110
43  -> 123,122,121
44  -> 126,125,124
45  -> 137,136,127
46  -> 140,139,138
47  -> 143,142,141
#7
48  -> 181,182,183
49  -> 178,179,180
50  -> 167,176,177
51  -> 164,165,166
52  -> 161,162,163
53  -> 150,151,160
54  -> 147,148,149
55  -> 144,145,146
#8
56  -> 186,185,184
57  -> 189,188,187
58  -> 168,191,190
59  -> 171,170,169
60  -> 174,173,172
61  -> 153,152,175
62  -> 156,155,154
63  -> 159,158,157
